gwcode,year,country_name,country_text_id,country_id,any_neg_change,any_neg_change_2yr,v2x_regime,v2x_regime_amb,lagged_v2x_regime,lagged_v2x_regime_amb,lagged_v2x_regime_asCharacter,lagged_v2x_regime_asFactor,lagged_is_closed_autocracy,lagged_currentRegimeDuration,lagged_low_border_case,lagged_high_border_case,lagged_yrs_since_any_neg_change,lagged_num_of_neg_changes,lagged_any_neg_change,lagged_num_of_neg_changes_3yrs,lagged_num_of_neg_changes_5yrs,lagged_num_of_neg_changes_10yrs,lagged_was_neg_change_last_3yrs,lagged_was_neg_change_last_5yrs,lagged_was_neg_change_last_10yrs
2,1970,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,1,0,0,69,0,0,0,0,0,0,0,0
2,1971,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,2,0,0,70,0,0,0,0,0,0,0,0
2,1972,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,3,0,0,71,0,0,0,0,0,0,0,0
2,1973,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,4,0,0,72,0,0,0,0,0,0,0,0
2,1974,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,5,0,0,73,0,0,0,0,0,0,0,0
2,1975,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,6,0,0,74,0,0,0,0,0,0,0,0
2,1976,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,7,0,0,75,0,0,0,0,0,0,0,0
2,1977,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,8,0,0,76,0,0,0,0,0,0,0,0
2,1978,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,9,0,0,77,0,0,0,0,0,0,0,0
2,1979,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,10,0,0,78,0,0,0,0,0,0,0,0
2,1980,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,11,0,0,79,0,0,0,0,0,0,0,0
2,1981,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,12,0,0,80,0,0,0,0,0,0,0,0
2,1982,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,13,0,0,81,0,0,0,0,0,0,0,0
2,1983,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,14,0,0,82,0,0,0,0,0,0,0,0
2,1984,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,15,0,0,83,0,0,0,0,0,0,0,0
2,1985,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,16,0,0,84,0,0,0,0,0,0,0,0
2,1986,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,17,0,0,85,0,0,0,0,0,0,0,0
2,1987,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,18,0,0,86,0,0,0,0,0,0,0,0
2,1988,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,19,0,0,87,0,0,0,0,0,0,0,0
2,1989,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,20,0,0,88,0,0,0,0,0,0,0,0
2,1990,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,21,0,0,89,0,0,0,0,0,0,0,0
2,1991,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,22,0,0,90,0,0,0,0,0,0,0,0
2,1992,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,23,0,0,91,0,0,0,0,0,0,0,0
2,1993,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,24,0,0,92,0,0,0,0,0,0,0,0
2,1994,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,25,0,0,93,0,0,0,0,0,0,0,0
2,1995,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,26,0,0,94,0,0,0,0,0,0,0,0
2,1996,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,27,0,0,95,0,0,0,0,0,0,0,0
2,1997,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,28,0,0,96,0,0,0,0,0,0,0,0
2,1998,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,29,0,0,97,0,0,0,0,0,0,0,0
2,1999,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,30,0,0,98,0,0,0,0,0,0,0,0
2,2000,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,31,0,0,99,0,0,0,0,0,0,0,0
2,2001,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,32,0,0,100,0,0,0,0,0,0,0,0
2,2002,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,33,0,0,101,0,0,0,0,0,0,0,0
2,2003,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,34,0,0,102,0,0,0,0,0,0,0,0
2,2004,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,35,0,0,103,0,0,0,0,0,0,0,0
2,2005,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,36,0,0,104,0,0,0,0,0,0,0,0
2,2006,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,37,0,0,105,0,0,0,0,0,0,0,0
2,2007,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,38,0,0,106,0,0,0,0,0,0,0,0
2,2008,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,39,0,0,107,0,0,0,0,0,0,0,0
2,2009,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,40,0,0,108,0,0,0,0,0,0,0,0
2,2010,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,41,0,0,109,0,0,0,0,0,0,0,0
2,2011,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,42,0,0,110,0,0,0,0,0,0,0,0
2,2012,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,43,0,0,111,0,0,0,0,0,0,0,0
2,2013,United States of America,USA,20,0,0,3,9,3,9,Liberal Democracy,Liberal Democracy,0,44,0,0,112,0,0,0,0,0,0,0,0
